"sponsor","data_name","legiscan_id","term","chamber","district","party","LES","LES_rank","BILL_wshare","AIC_wshare","ABC_wshare","PASS_wshare","LAW_wshare","all_bills","all_aic","all_abc","all_pass","all_law","ss_bills","ss_aic","ss_abc","ss_pass","ss_law","s_bills","s_aic","s_abc","s_pass","s_law","c_bills","c_aic","c_abc","c_pass","c_law","LES_nw","num_sponsored_bills","sponsor_pass_rate","sponsor_law_rate","num_cosponsored_bills"
"Robert Rodriguez","r. rodriguez",20031,"2021_2022","Senate","SD-032","D",0.865326473524993,16,0.0230251505490613,0.0230251505490613,0.0249687890137328,0.0252312867956266,0.0239338555265448,11,11,10,10,9,2,2,2,2,2,9,9,8,8,7,0,0,0,0,0,0.772388732479709,11,0.909090909090909,0.818181818181818,NA
"Barbara Kirkmeyer","b. kirkmeyer",22456,"2021_2022","Senate","SD-023","R",0.809625582080396,17,0.026567481402763,0.026567481402763,0.0208073241781107,0.0189234650967199,0.0195822454308094,15,15,10,9,9,0,0,0,0,0,15,15,10,9,9,0,0,0,0,0,0.864406587501009,15,0.6,0.6,NA
"Sonya Jaquez Lewis","s. jaquez lewis",20027,"2021_2022","Senate","SD-017","D",0.706883304880929,18,0.0198370527807297,0.0198370527807297,0.0191427382438618,0.0193439865433137,0.0200174064403829,12,12,10,10,10,0,0,0,0,0,11,11,9,9,9,1,1,1,1,1,0.816278831559183,12,0.833333333333333,0.833333333333333,NA
"Cleave Simpson","c. simpson",22457,"2021_2022","Senate","SD-035","R",0.667120397938893,19,0.0177116542685087,0.0177116542685087,0.0187265917602996,0.0189234650967199,0.0195822454308094,10,10,9,9,9,0,0,0,0,0,10,10,9,9,9,0,0,0,0,0,0.712996813064919,10,0.9,0.9,NA
"Dennis Hisey","d. hisey",20028,"2021_2022","Senate","SD-002","R",0.667120397938893,20,0.0177116542685087,0.0177116542685087,0.0187265917602996,0.0189234650967199,0.0195822454308094,9,9,8,8,8,1,1,1,1,1,8,8,7,7,7,0,0,0,0,0,0.636782463743587,9,0.888888888888889,0.888888888888889,NA
"Pete Lee","p. lee",10780,"2021_2022","Senate","SD-011","D",0.605668759763983,21,0.0177116542685087,0.0177116542685087,0.0166458593424886,0.016820857863751,0.015230635335074,10,10,8,8,7,0,0,0,0,0,10,10,8,8,7,0,0,0,0,0,0.647027703009977,10,0.8,0.7,NA
"Kevin Priola","k. priola",3323,"2021_2022","Senate","SD-025","R",0.58016397761733,22,0.0159404888416578,0.0159404888416578,0.0166458593424886,0.016820857863751,0.015230635335074,8,8,7,7,6,1,1,1,1,1,7,7,6,6,5,0,0,0,0,0,0.543745684515713,8,0.875,0.75,NA
"James Coleman","j. coleman",18939,"2021_2022","Senate","SD-033","D",0.524539149985062,23,0.0141693234148069,0.0141693234148069,0.0145651269246775,0.0147182506307822,0.015230635335074,8,8,7,7,7,0,0,0,0,0,8,8,7,7,7,0,0,0,0,0,0.560568114422255,8,0.875,0.875,NA
"Leroy Garcia","l. garcia",14266,"2021_2022","Senate","SD-003","D",0.524539149985062,24,0.0141693234148069,0.0141693234148069,0.0145651269246775,0.0147182506307822,0.015230635335074,8,8,7,7,7,0,0,0,0,0,8,8,7,7,7,0,0,0,0,0,0.560568114422255,8,0.875,0.875,NA
"Paul Lundeen","p. lundeen",16509,"2021_2022","Senate","SD-009","R",0.509481812764493,25,0.0194828196953595,0.0194828196953595,0.0104036620890553,0.0105130361648444,0.0108790252393386,10,10,4,4,4,1,1,1,1,1,9,9,3,3,3,0,0,0,0,0,0.467263412322921,10,0.4,0.4,NA
