bill_number,session,session_type,title,sponsors,out_chamber_sponsors,bill_url
HB15-1072,2015,RS,Interactive Electronic Harassment,FIELDS,NEWELL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/713B4D9492FE1E6987257D8800084E18?opendocument
HB15-1073,2015,RS,Driver May Challenge Initial Police Contact,SALAZAR,ULIBARRI,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/E8A0DE010E2BA25E87257D9B006F1BC9?opendocument
HB15-1074,2015,RS,Board Of County Commissioners Member Liability,VIGIL,CROWDER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/72372433BF0F494987257D9C005E2710?opendocument
HB15-1075,2015,RS,Registered Naturopathic Doctor Treating Children,GINAL,CROWDER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/AF18D4133FE54B0D87257D9B0062F214?opendocument
HB15-1076,2015,RS,Prohibit Discrimination Labor Union Participation,EVERETT,NEVILLE T.; WOODS,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/9B36196F0B6AEA5F87257D890062E2EF?opendocument
HB15-1077,2015,RS,Modify Late Vehicle Registration Fee,WILSON,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/0F55BF394C4D6A9F87257D89007A4979?opendocument
HB15-1078,2015,RS,Reporting Missing Youth In State's Legal Custody,NORDBERG; MCCANN,JAHN; WOODS,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/C964999E9B2DCA9287257D96007EBE0A?opendocument
HB15-1079,2015,RS,Teen Pregnancy Dropout Prevention Program Funding,CORAM; DANIELSON,ROBERTS,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/0B87D56866E1280C87257D95006FEB23?opendocument
HB15-1080,2015,RS,School Participation In Breakfast After The Bell,JOSHI,HILL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/DCDE657BAA45049D87257D8F006915BD?opendocument
HB15-1081,2015,RS,Protect Physical Privacy In Locker Rooms,RANSOM,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/D6D89912A15C9DF687257DA9007089DF?opendocument
HB15-1082,2015,RS,Time Limit On Mental Health Disciplinary Actions,MELTON,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/458B05403F01915387257DA100811A54?opendocument
HB15-1083,2015,RS,Patient Contribution Rehabilitation Services,PRIMAVERA,CROWDER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/605A3D5D4A73E9DB87257D9B007A5FAF?opendocument
HB15-1084,2015,RS,Collection Of Mail Ballots,TATE,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/4EAA90FF3D8F088A87257DAB0063D652?opendocument
HB15-1085,2015,RS,Publish County Fiscal Information On-line,THURLOW,LAMBERT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/A7C0BB4167F0072E87257DA90073DD7D?opendocument
HB15-1086,2015,RS,CBI Produce Certificates For Gun Transferees,NEVILLE P.,NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/446AA26DC1C2BD6287257DA20073D2DE?opendocument
HB15-1087,2015,RS,Alcohol And Substance Abuse Medical Detox Centers,VIGIL,STEADMAN; JAHN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5AD8E75AD6731FC287257D9C005E8DA9?opendocument
