term,chamber,data_name,sponsor,party,district,roster_id,roster_id_col,LES,BILL_wshare,AIC_wshare,ABC_wshare,PASS_wshare,LAW_wshare,all_bills,all_aic,all_abc,all_pass,all_law,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,num_sponsored_bills,sponsor_pass_rate,sponsor_law_rate,num_cosponsored_bills,LES_rank,LES_nw
2017_2018,House,t. leonard,"leonard, tim",,,271343,klarner_id,0.320766506977713,0.011455946677775464,0.011455946677775464,0.0,0.0,0.0,10,10,0,0,0,1,1,0,0,0,9,9,0,0,0,0,0,0,0,0,10,0.0,0.0,,60,0.34271725826193394
2017_2018,House,k. lewis,"lewis, kimmi",,,362483,klarner_id,0.26498487653431313,0.007290147885857113,0.007290147885857113,0.0012768130745658835,0.0012916559028674762,0.0017787264318747777,7,7,1,1,1,0,0,0,0,0,7,7,1,1,1,0,0,0,0,0,7,0.14285714285714285,0.14285714285714285,,63,0.31020267984150834
2017_2018,House,d. mitsch bush,"bush, diane e. mitsch",,,309349,klarner_id,0.49032362354996045,0.006248698187877526,0.006248698187877526,0.007660878447395302,0.007749935417204857,0.007114905727499111,6,6,6,6,4,0,0,0,0,0,6,6,6,6,4,0,0,0,0,0,6,1.0,0.6666666666666666,,54,0.5709823364028624
2017_2018,House,l. sias,"sias, lang",,,309246,klarner_id,0.2092032460909132,0.003124349093938763,0.003124349093938763,0.002553626149131767,0.0025833118057349523,0.0035574528637495554,3,3,2,2,2,0,0,0,0,0,3,3,2,2,2,0,0,0,0,0,3,0.6666666666666666,0.6666666666666666,,65,0.2434163755948895
2017_2018,House,d. valdez,"valdez, donald e.",,,362463,klarner_id,0.6095055423671313,0.0083315975838367,0.0083315975838367,0.008937691521961185,0.009041591320072333,0.008893632159373888,8,8,7,7,5,0,0,0,0,0,8,8,7,7,5,0,0,0,0,0,8,0.875,0.625,,49,0.709826387113404
2017_2018,House,j. reyher,"reyher, j",,,,klarner_id,0.08748177463028536,0.003124349093938763,0.003124349093938763,0.0,0.0,0.0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0.0,0.0,,67,0.10281517747858017
2017_2018,House,d. williams,"williams, dave",,,19889,klarner_id,0.3841667953514839,0.009373047281816288,0.009373047281816288,0.002553626149131767,0.0025833118057349523,0.0035574528637495554,6,6,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,6,0.16666666666666666,0.16666666666666666,,58,0.275930954015315
2017_2018,House,d. coram,"coram, don",,,296024,klarner_id,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,70,0.0
2017_2018,House,l. saine,"saine, lori",,,309444,klarner_id,0.8685131285505383,0.011455946677775464,0.011455946677775464,0.011491317671092951,0.011624903125807285,0.016008537886873,8,8,6,6,6,3,3,3,3,3,5,5,3,3,3,0,0,0,0,0,8,0.75,0.75,,37,0.6959774009584749
2017_2018,House,s. sandridge,"sandridge, s",,,,klarner_id,0.029160591543428455,0.0010414496979795876,0.0010414496979795876,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,0.0,,68,0.03427172582619339
2017_2018,House,a. winkler,"winkler, a",,,,klarner_id,0.029160591543428455,0.0010414496979795876,0.0010414496979795876,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,0.0,,68,0.03427172582619339
2017_2018,Senate,b. gardner,"gardner, robert",,,271389,klarner_id,3.4473360657100187,0.09598853868194843,0.09598853868194843,0.10166358595194085,0.10679611650485436,0.09203980099502487,56,56,45,45,32,11,11,10,10,5,45,45,35,35,27,0,0,0,0,0,56,0.8035714285714286,0.5714285714285714,,1,3.398921981668422
2017_2018,Senate,k. lambert,"lambert, kent douglas",,,260065,klarner_id,2.7160524448055807,0.0659025787965616,0.0659025787965616,0.07763401109057301,0.08155339805825243,0.09701492537313433,43,43,40,40,37,3,3,2,2,2,40,40,38,38,35,0,0,0,0,0,43,0.9302325581395349,0.8604651162790697,,2,3.0317079146831785
2017_2018,Senate,b. martinez humenik,"humenik, beth",,,309362,klarner_id,1.9279774169539805,0.04727793696275072,0.04727793696275072,0.05545286506469501,0.05825242718446602,0.06716417910447761,28,28,25,25,22,5,5,5,5,5,23,23,20,20,17,0,0,0,0,0,28,0.8928571428571429,0.7857142857142857,,4,1.8990194821583941
2017_2018,Senate,j. cooke,"cooke, john",,,322531,klarner_id,1.5731441624483218,0.04011461318051576,0.04011461318051576,0.04621072088724584,0.04854368932038835,0.04975124378109453,24,24,21,21,17,4,4,4,4,3,20,20,17,17,14,0,0,0,0,0,24,0.875,0.7083333333333334,,6,1.5768542909563825
2017_2018,Senate,j. tate,"tate, jack",,,322627,klarner_id,2.217141210377297,0.05730659025787966,0.05730659025787966,0.06839186691312385,0.06407766990291262,0.06965174129353234,34,34,32,29,25,6,6,5,4,3,28,28,27,25,22,0,0,0,0,0,34,0.8529411764705882,0.7352941176470589,,3,2.274910465268615
2017_2018,Senate,d. coram,"coram, d",,,,klarner_id,1.3144938840943325,0.0329512893982808,0.0329512893982808,0.038817005545286505,0.040776699029126215,0.04228855721393035,20,20,18,18,15,3,3,3,3,2,17,17,15,15,13,0,0,0,0,0,20,0.9,0.75,,8,1.3465814618012857
2017_2018,Senate,k. priola,"priola, kevin",,,283608,klarner_id,1.4167804118385474,0.03868194842406877,0.03868194842406877,0.04251386321626617,0.04271844660194175,0.03980099502487562,24,24,20,19,14,3,3,3,3,2,21,21,17,16,12,0,0,0,0,0,24,0.7916666666666666,0.5833333333333334,,7,1.4688328966514035
2017_2018,Senate,t. neville,"neville, tim",,,322534,klarner_id,1.732767149293277,0.05300859598853868,0.05300859598853868,0.05730129390018484,0.05436893203883495,0.029850746268656716,30,30,25,22,10,7,7,6,6,2,23,23,19,16,8,0,0,0,0,0,30,0.7333333333333333,0.3333333333333333,,5,1.656953245397124
2017_2018,Senate,l. crowder,"crowder, larry w.",,,309276,klarner_id,1.0773600978633462,0.0329512893982808,0.0329512893982808,0.029574861367837338,0.031067961165048542,0.02736318407960199,19,19,14,14,9,4,4,2,2,2,15,15,12,12,7,0,0,0,0,0,19,0.7368421052631579,0.47368421052631576,,13,1.0758515836071654
2017_2018,Senate,v. marble,"marble, vicki",,,309253,klarner_id,1.2844562480302208,0.04154727793696275,0.04154727793696275,0.04251386321626617,0.03300970873786408,0.024875621890547265,23,23,19,15,10,6,6,4,2,0,17,17,15,13,10,0,0,0,0,0,23,0.6521739130434783,0.43478260869565216,,10,1.284588410122684
2017_2018,Senate,k. lundberg,"lundberg, kevin",,,17566,klarner_id,1.2848266247055558,0.034383954154727794,0.034383954154727794,0.04251386321626617,0.03495145631067961,0.03731343283582089,20,20,19,15,12,4,4,4,3,3,16,16,15,12,9,0,0,0,0,0,20,0.75,0.6,,9,1.2532680396435285
2017_2018,Senate,d. moreno,"moreno, dominick",,,309366,klarner_id,1.0667826127958473,0.027220630372492838,0.027220630372492838,0.029574861367837338,0.031067961165048542,0.03731343283582089,17,17,14,14,13,2,2,2,2,2,15,15,12,12,11,0,0,0,0,0,17,0.8235294117647058,0.7647058823529411,,14,1.1086111833643568
2017_2018,Senate,o. hill,"hill, owen",,,295889,klarner_id,1.0335952149540022,0.03008595988538682,0.03008595988538682,0.03512014787430684,0.03495145631067961,0.017412935323383085,16,16,14,13,6,5,5,5,5,1,11,11,9,8,5,0,0,0,0,0,16,0.8125,0.375,,15,0.927827468226267
2017_2018,Senate,r. baumgardner,"baumgardner, randy l.",,,283661,klarner_id,0.6718347451096727,0.017191977077363897,0.017191977077363897,0.02033271719038817,0.021359223300970873,0.01990049751243781,11,11,10,10,7,1,1,1,1,1,10,10,9,9,6,0,0,0,0,0,11,0.9090909090909091,0.6363636363636364,,19,0.7186308792758583
2017_2018,Senate,c. holbert,"holbert, chris",,,295999,klarner_id,1.1316077533137516,0.02865329512893983,0.02865329512893983,0.03512014787430684,0.036893203883495145,0.03233830845771144,16,16,15,15,12,4,4,4,4,1,12,12,11,11,11,0,0,0,0,0,16,0.9375,0.75,,12,1.0961936901174532
2017_2018,Senate,j. smallwood,"smallwood, jim",,,362173,klarner_id,0.8192417740822076,0.02148997134670487,0.02148997134670487,0.025878003696857672,0.02330097087378641,0.024875621890547265,14,14,13,12,10,1,1,1,0,0,13,13,12,12,10,0,0,0,0,0,14,0.8571428571428571,0.7142857142857143,,16,0.9290395335227508
2017_2018,Senate,l. garcia,"garcia, leroy m. jr.",,,309401,klarner_id,0.6801293808983011,0.017191977077363897,0.017191977077363897,0.018484288354898338,0.019417475728155338,0.024875621890547265,9,9,7,7,7,3,3,3,3,3,6,6,4,4,4,0,0,0,0,0,9,0.7777777777777778,0.7777777777777778,,17,0.576288105535984
