"state","year","bill_num","bill_type","num_only","special","special_num","num_bill_mentions","share_cong_mentions","share_state_mentions","source","ex_article_path"
"MT",2013,"hb0428","HB",428,0,NA,1,1,0,"newsbank","MT/2013/02/15/0C9C30EBA6619F00_20130215_1447F1CF56EDDF80.xml"
"LA",2013,"hb0429","HB",429,0,NA,4,0,1,"newsbank","LA/2013/05/09/0C9C307698CA2800_20130509_146305C187D18A88.xml"
"HI",2013,"hb0430","HB",430,0,NA,2,0.5,0,"newsbank","HI-Adv/2013/06/17/1303F18E28037C08_20130617_147063A459689BB0.xml"
"KY",2013,"hb0430","HB",430,0,NA,12,0,0,"newsbank","KY/2013/02/21/0C9C33F0420E3880_20130221_1449A9A69EA809A8.xml"
"KY",2013,"hb0430","HB",430,1,NA,6,0,0,"newsbank","KY/2013/02/20/0C9C33F0420E3880_20130220_14495256A6469198.xml"
"NH",2013,"hb0430","HB",430,0,NA,2,0,0,"newsbank","NH/2013/05/22/0C9C3411E8D2E900_20130522_1469826446CE2448.xml"
"PA",2013,"hb0430","HB",430,0,NA,1,0,0,"newsbank","PA/2013/06/23/0C9C352AB17A8D80_20130623_1471C7EFB1C4CC88.xml"
"AL",2013,"hb0431","HB",431,0,NA,1,0,0,"newsbank","AL/2013/09/18/0C9C30EFCE52CB80_20130918_148E68C1759F91D0.xml"
"LA",2013,"hb0432","HB",432,0,NA,1,0,0,"newsbank","LA/2013/04/07/0C9C307698CA2800_20130407_1458CE6E2E81A7A8.xml"
"MO",2013,"hb0432","HB",432,0,NA,1,0,0,"newsbank","MO/2013/05/03/0C9C364D5DACAA80_20130503_1461088EAEF2B128.xml"
"MT",2013,"hb0433","HB",433,0,NA,1,0,0,"newsbank","MT/2013/05/02/0C9C30EBA6619F00_20130502_14609BFA0189C0C8.xml"
"PA",2013,"hb0433","HB",433,0,NA,1,0,0,"newsbank","PA/2013/06/23/0C9C352AB17A8D80_20130623_1471C7EFB1C4CC88.xml"
"LA",2013,"hb0434","HB",434,0,NA,1,0,0,"newsbank","LA/2013/04/23/0C9C307698CA2800_20130423_145DC0159908B4E8.xml"
"LA",2013,"hb0434","HB",434,1,NA,2,0,0,"newsbank","LA/2013/05/31/0C9C307698CA2800_20130531_146A460E9ECBC618.xml"
"PA",2013,"hb0434","HB",434,0,NA,1,0,0,"newsbank","PA/2013/06/23/0C9C352AB17A8D80_20130623_1471C7EFB1C4CC88.xml"
"LA",2013,"hb0435","HB",435,0,NA,1,0,0,"newsbank","LA/2013/04/22/0C9C307698CA2800_20130422_145D6B46378BD170.xml"
"LA",2013,"hb0435","HB",435,1,NA,1,0,0,"newsbank","LA/2013/05/31/0C9C307698CA2800_20130531_146A460E9ECBC618.xml"
"MS",2013,"hb0435","HB",435,0,NA,1,0,0,"newsbank","MS/2013/02/01/0C9C367FBB8A8780_20130201_1442F8C291F7B758.xml"
"NH",2013,"hb0435","HB",435,0,NA,1,0,0,"newsbank","NH/2013/08/04/0C9C348B80510D00_20130804_148093BB251DFFB8.xml"
"MO",2013,"hb0436","HB",436,0,NA,30,0.2,0.533333333333333,"newsbank","MO/2013/05/10/0C9C364D5DACAA80_20130510_1463400577D68670.xml"
"MO",2013,"hb0436","HB",436,1,NA,3,0,0,"newsbank","MO/2013/09/08/0C9C364D5DACAA80_20130908_148B227D2B712B88.xml"
"MT",2013,"hb0436","HB",436,0,NA,2,0,0,"newsbank","MT/2013/04/03/0C9C30EBA6619F00_20130403_145758355D1F4AB0.xml"
"NC",2013,"hb0436","HB",436,0,NA,1,0,1,"newsbank","NC/2013/03/27/0C9C34A99F5CE700_20130327_1454D061D96432C8.xml"
"LA",2013,"hb0437","HB",437,0,NA,2,0,0,"newsbank","LA/2013/04/23/0C9C307698CA2800_20130423_145DC0159908B4E8.xml"
"LA",2013,"hb0437","HB",437,1,NA,1,0,0,"newsbank","LA/2013/05/31/0C9C307698CA2800_20130531_146A460E9ECBC618.xml"
"MT",2013,"hb0437","HB",437,0,NA,5,0,0,"newsbank","MT/2013/03/18/0C9C30EBA6619F00_20130318_14522B8C5FBA6BD8.xml"
"MT",2013,"hb0439","HB",439,0,NA,1,0,0,"newsbank","MT/2013/03/10/0C9C30EBA6619F00_20130310_144F29487616D8F8.xml"
"KY",2013,"hb0440","HB",440,0,NA,6,0.333333333333333,0.333333333333333,"newsbank","KY/2013/04/05/0C9C33F0420E3880_20130405_1457D06279CA24C8.xml"
"KY",2013,"hb0440","HB",440,1,NA,2,0,0,"newsbank","KY/2013/03/27/0C9C33F0420E3880_20130327_1454D92862730010.xml"
"LA",2013,"hb0441","HB",441,0,NA,2,0,1,"newsbank","LA/2013/03/30/0C9C307698CA2800_20130330_1455D711718BFD90.xml"
"MT",2013,"hb0441","HB",441,0,NA,1,0,1,"newsbank","MT/2013/02/26/0C9C30EBA6619F00_20130226_144B9012D4BCD680.xml"
"LA",2013,"hb0442","HB",442,0,NA,1,0,0,"newsbank","LA/2013/04/20/0C9C307698CA2800_20130420_145D6B456EA92120.xml"
"GA",2013,"hb0443","HB",443,0,NA,1,0,0,"lexisnexis","GA_2013_2.pdf --- Article Number: 58"
"KY",2013,"hb0443","HB",443,1,NA,2,0,0,"newsbank","KY/2013/02/20/0C9C33F0420E3880_20130220_14495256A6469198.xml"
"NH",2013,"hb0443","HB",443,0,NA,10,0,0.3,"newsbank","NH/2013/02/08/0C9C3411E8D2E900_20130208_1446479569327688.xml"
"GA",2013,"hb0444","HB",444,0,NA,2,0,0,"lexisnexis","GA_2013_2.pdf --- Article Number: 83"
"HI",2013,"hb0444","HB",444,0,NA,3,1,0.333333333333333,"newsbank","HI-Adv/2013/05/12/1303F18E28037C08_20130512_14642C1B570F1380.xml"
"HI",2013,"hb0444","HB",444,1,NA,2,0,0.5,"newsbank","HI-Adv/2013/11/12/1303F18E28037C08_20131112_14A12CD132BB0F80.xml"
"LA",2013,"hb0444","HB",444,0,NA,1,0,0,"newsbank","LA/2013/04/07/0C9C307698CA2800_20130407_1458CE6E351FEE08.xml"
"NH",2013,"hb0444","HB",444,0,NA,1,0,1,"newsbank","NH/2013/10/14/0C9C3411E8D2E900_20131014_1497AD27ABCBFD88.xml"
"MO",2013,"hb0446","HB",446,0,NA,2,1,1,"newsbank","MO/2013/04/29/0C9C364D5DACAA80_20130429_145F9DCBB7175520.xml"
"NH",2013,"hb0450","HB",450,0,NA,1,0,1,"newsbank","NH/2013/05/03/0C9C3411E8D2E900_20130503_1461F48C385D2B30.xml"
"MO",2013,"hb0451","HB",451,0,NA,1,0,0,"newsbank","MO/2013/05/12/0C9C364D5DACAA80_20130512_14664F3B82190490.xml"
"NC",2013,"hb0451","HB",451,0,NA,1,0,1,"newsbank","NC/2013/03/29/0C9C34A99F5CE700_20130329_1455798BF6DB0F70.xml"
"NH",2013,"hb0451","HB",451,0,NA,4,0,1,"newsbank","NH/2013/02/22/0C9C3411E8D2E900_20130222_144ADA94069DCD48.xml"
"LA",2013,"hb0452","HB",452,0,NA,3,0,0,"newsbank","LA/2013/04/30/0C9C307698CA2800_20130430_14600F23DA3B7828.xml"
"MT",2013,"hb0452","HB",452,0,NA,2,0,1,"newsbank","MT/2013/03/05/0C9C30EBA6619F00_20130305_144DE5A9154F5A50.xml"
"NC",2013,"hb0452","HB",452,0,NA,1,0,1,"newsbank","NC/2013/03/29/0C9C34A99F5CE700_20130329_1455798BDF6C1528.xml"
"PA",2013,"hb0452","HB",452,0,NA,1,0,0,"newsbank","PA/2013/09/26/0C9C352AB17A8D80_20130926_149116A24C0BF818.xml"
"MT",2013,"hb0454","HB",454,0,NA,25,0,0.08,"newsbank","MT/2013/02/21/0C9C30EBA6619F00_20130221_1449EB998DA4BCA0.xml"
"MT",2013,"hb0454","HB",454,1,NA,2,0,0,"newsbank","MT/2013/04/22/0C9C30EBA6619F00_20130422_145D98E3DA9DDBA8.xml"
"KY",2013,"hb0456","HB",456,1,NA,2,0,0,"newsbank","KY/2013/02/20/0C9C33F0420E3880_20130220_14495256A6469198.xml"
"LA",2013,"hb0456","HB",456,0,NA,4,0,0.25,"newsbank","LA/2013/05/30/0C9C307698CA2800_20130530_1469F14B23094CA0.xml"
"LA",2013,"hb0456","HB",456,1,NA,1,0,0,"newsbank","LA/2013/06/05/0C9C307698CA2800_20130605_146BEA99C4ED7980.xml"
"MT",2013,"hb0458","HB",458,0,NA,5,0,0,"newsbank","MT/2013/03/03/0C9C30EBA6619F00_20130303_144CE16C16E71D08.xml"
"LA",2013,"hb0459","HB",459,0,NA,1,0,0,"newsbank","LA/2013/04/17/0C9C307698CA2800_20130417_145BC682B2B69AE0.xml"
"AL",2013,"hb0462","HB",462,0,NA,2,1,1,"newsbank","AL/2013/04/10/0C9C30EFCE52CB80_20130410_1459A80ABA61F7F8.xml"
"KY",2013,"hb0463","HB",463,0,NA,6,0.333333333333333,0.333333333333333,"newsbank","KY/2013/08/25/0C9C33F0420E3880_20130825_14869D76AA504E50.xml"
"NC",2013,"hb0465","HB",465,0,NA,1,0,0,"newsbank","NC/2013/05/16/0C9C34A99F5CE700_20130516_14654486215CCD50.xml"
"LA",2013,"hb0466","HB",466,0,NA,8,0,0.25,"newsbank","LA/2013/04/25/0C9C307698CA2800_20130425_145E6A5FB1910E70.xml"
"NH",2013,"hb0466","HB",466,0,NA,1,1,0,"newsbank","NH/2013/09/12/0C9C3411E8D2E900_20130912_148DCBA04DBBD2C8.xml"
"LA",2013,"hb0467","HB",467,0,NA,1,0,0,"newsbank","LA/2013/04/15/0C9C307698CA2800_20130415_145B1C91A5AC41B0.xml"
"HI",2013,"hb0468","HB",468,0,NA,1,0,0,"newsbank","HI-Adv/2013/11/08/1303F18E28037C08_20131108_149FE0E655DA8350.xml"
"UT",2013,"hb0469","HB",469,0,NA,3,1,0,"lexisnexis","UT_2013_4.pdf --- Article Number: 14"
"LA",2013,"hb0470","HB",470,0,NA,4,0,0,"newsbank","LA/2013/04/17/0C9C307698CA2800_20130417_145BC682B606DB38.xml"
"MT",2013,"hb0472","HB",472,0,NA,3,0,0,"newsbank","MT/2013/02/25/0C9C30EBA6619F00_20130225_144B3BA88ECD6DC0.xml"
