Date,State,Bill No,Title,Action
"April 19, 2024",CO,SB 24-190,Expands the Rural Opportunity Office's Role in Supporting Diversification in Workforce Training,"Bill Passed
                           - Senate
                      

                      
                          (30 - 3)"
"April 18, 2024",CO,HB 24-1136,Establishes New Social Media Safety Programs,"Bill Passed
                           - Senate
                      

                      
                          (28 - 7)"
"April 17, 2024",CO,SB 24-171,Authorizes the Reintroduction of Wolverines Into the State,"Bill Passed
                           - Senate
                      

                      
                          (29 - 5)"
"April 11, 2024",CO,SB 24-106,Authorizes the Right to Repair Faulty Construction,"Bill Passed
                           - Senate
                      

                      
                          (25 - 8)"
"April 8, 2024",CO,SB 24-066,Authorizes Tracking Gun and Ammunition Purchases Through Payment Networks,"Bill Passed
                           - House
                      

                      
                          (38 - 21)"
"April 5, 2024",CO,HB 24-1011,Requires Mortgage Servicers to Take Cergtain Actions Regarding the Disbursement of Insurance Proceeds to Borrowers,"Concurrence Vote Passed
                           - House
                      

                      
                          (45 - 9)"
"April 2, 2024",CO,HB 24-1011,Requires Mortgage Servicers to Take Cergtain Actions Regarding the Disbursement of Insurance Proceeds to Borrowers,"Bill Passed
                           - Senate
                      

                      
                          (28 - 7)"
"March 28, 2024",CO,HB 24-1098,"Establishes a ""For Cause"" Eviction Process","Concurrence Vote Passed
                           - House
                      

                      
                          (43 - 15)"
"March 28, 2024",CO,HB 24-1007,Prohibit Residential Occupancy Limits,"Concurrence Vote Passed
                           - House
                      

                      
                          (42 - 16)"
"March 28, 2024",CO,HB 24-1072,Increases Evidenciary Requirements in Criminal Proceedings,"Concurrence Vote Passed
                           - House
                      

                      
                          (56 - 2)"
"March 26, 2024",CO,HB 24-1081,Amends the Regulation of Sodium Nitrite,"Concurrence Vote Passed
                           - House
                      

                      
                          (59 - 3)"
"March 26, 2024",CO,HB 24-1098,"Establishes a ""For Cause"" Eviction Process","Bill Passed
                           - Senate
                      

                      
                          (19 - 15)"
"March 26, 2024",CO,HB 24-1100,Requires Coroners be Medically Certified,"Bill Passed
                           - Senate
                      

                      
                          (26 - 7)"
"March 25, 2024",CO,HB 24-1081,Amends the Regulation of Sodium Nitrite,"Bill Passed
                           - Senate
                      

                      
                          (24 - 1)"
"March 25, 2024",CO,HB 24-1254,Establishes New Regulations of Tissue Banks,"Bill Passed
                           - House
                      

                      
                          (62 - 1)"
"March 22, 2024",CO,SB 24-100,Establishes Expanded Commercial Vehicle Safety Measures on Colorado Highways,"Bill Passed
                           - Senate
                      

                      
                          (27 - 6)"
"March 19, 2024",CO,SB 24-079,Specifies Motorcycle Lane Filtering and Passing,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (27 - 7)"
"March 19, 2024",CO,HB 24-1007,Prohibit Residential Occupancy Limits,"Bill Passed
                           - Senate
                      

                      
                          (21 - 13)"
"March 18, 2024",CO,SB 24-079,Specifies Motorcycle Lane Filtering and Passing,"Bill Passed
                           - House
                      

                      
                          (36 - 27)"
"March 18, 2024",CO,HJR 24-1020,Establishes Recognition of Latino/a Advocacy Day,"Joint Resolution Passed
                           - House
                      

                      
                          (52 - 11)"
"March 15, 2024",CO,HB 24-1139,Amends Death Benefit Statutes after Remarriage,"Concurrence Vote Passed
                           - House
                      

                      
                          (57 - 6)"
"March 15, 2024",CO,SB 24-020,Authorizes Restaurants to Serve To-Go Alcohol Permanently,"Bill Passed
                           - Senate
                      

                      
                          (29 - 2)"
"March 13, 2024",CO,HB 24-1139,Amends Death Benefit Statutes after Remarriage,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (29 - 5)"
"March 11, 2024",CO,HB 24-1174,Increases Requirements for Individuals Seeking to Obtain a Concealed-Carry Permit,"Bill Passed
                           - House
                      

                      
                          (43 - 16)"
"March 5, 2024",CO,HB 24-1131,Amends and Redistricts Local College Districts,"Bill Passed
                           - House
                      

                      
                          (60 - 5)"
"Feb. 29, 2024",CO,SB 24-005,Prohibits Landscaping Practices for Water Conservations Purposes,"Bill Passed
                           - House
                      

                      
                          (48 - 14)"
"Feb. 28, 2024",CO,SB 24-035,Classifies Human Trafficking as a Crime of Violence,"Bill Passed
                           - Senate
                      

                      
                          (33 - 1)"
"Feb. 23, 2024",CO,SB 24-1091,Prohibits the use of Fire-hardened Building Materials in Residential Real Property,"Bill Passed
                           - Senate
                      

                      
                          (24 - 7)"
"Feb. 21, 2024",CO,SB 24-066,Authorizes Tracking Gun and Ammunition Purchases Through Payment Networks,"Bill Passed
                           - Senate
                      

                      
                          (22 - 11)"
"Feb. 20, 2024",CO,HB 24-1100,Requires Coroners be Medically Certified,"Bill Passed
                           - House
                      

                      
                          (43 - 14)"
"Feb. 12, 2024",CO,HB 24-1093,Authorizes Provisional Peace Officer Certification for Former Military Members,"Bill Passed
                           - House
                      

                      
                          (59 - 5)"
"Feb. 12, 2024",CO,HB 24-1139,Amends Death Benefit Statutes after Remarriage,"Bill Passed
                           - House
                      

                      
                          (56 - 8)"
"Feb. 9, 2024",CO,HB 24-1058,Expands Colorado Privacy Act to Include Biological and Neural Data as Sensitive,"Bill Passed
                           - House
                      

                      
                          (59 - 3)"
"Feb. 9, 2024",CO,HB 24-1017,Establishes a Foster Care Bill of Rights,"Bill Passed
                           - House
                      

                      
                          (43 - 19)"
"Feb. 5, 2024",CO,SB 24-1091,Prohibits the use of Fire-hardened Building Materials in Residential Real Property,"Bill Passed
                           - House
                      

                      
                          (49 - 15)"
"Feb. 2, 2024",CO,SB 24-058,Requires Landowners Post Warnings on Potential Dangers,"Bill Passed
                           - Senate
                      

                      
                          (27 - 0)"
"Jan. 31, 2024",CO,SB 24-005,Prohibits Landscaping Practices for Water Conservations Purposes,"Bill Passed
                           - Senate
                      

                      
                          (28 - 5)"
